#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
ZNF423 41 415 4 452 2.15700512185e-09 4.31401024369e-09 11.1638554217 8.66615
PLXNA4 41 415 4 452 2.15700512185e-09 4.31401024369e-09 11.1638554217 8.66615
MYH7 32 424 1 455 2.33027214544e-09 4.66054429087e-09 34.3396226415 8.63259
TMEM132D 28 428 0 456 2.42957409473e-09 4.85914818946e-09 inf 8.61447
KCNH1 28 428 0 456 2.42957409473e-09 4.85914818946e-09 inf 8.61447
BRINP3 28 428 0 456 2.42957409473e-09 4.85914818946e-09 inf 8.61447
PCDH11X 38 418 3 453 2.63898908111e-09 5.27797816223e-09 13.7272727273 8.57856
SPTA1 73 383 20 436 2.65911533343e-09 5.31823066686e-09 4.15509138381 8.57526
DLGAP2 31 425 1 455 4.68313966651e-09 9.36627933301e-09 33.1882352941 8.32946
CTNNB1 31 425 1 455 4.68313966651e-09 9.36627933301e-09 33.1882352941 8.32946
ABCA2 31 425 1 455 4.68313966651e-09 9.36627933301e-09 33.1882352941 8.32946
MED12 27 429 0 456 5.01205844717e-09 1.00241168943e-08 inf 8.29998
ARHGAP35 27 429 0 456 5.01205844717e-09 1.00241168943e-08 inf 8.29998
CTNNA2 37 419 3 453 5.10083111326e-09 1.02016622265e-08 13.3341288783 8.29236
DOCK2 44 412 6 450 7.13432967326e-09 1.42686593465e-08 8.00970873786 8.14665
CNOT1 39 417 4 452 7.80739154205e-09 1.56147830841e-08 10.5683453237 8.10749
PCDH15 46 410 7 449 8.39129049349e-09 1.6782580987e-08 7.19651567944 8.07617
HECTD4 46 410 7 449 8.39129049349e-09 1.6782580987e-08 7.19651567944 8.07617
VPS13B 69 387 19 437 8.69145745237e-09 1.73829149047e-08 4.1007751938 8.06091
CACNA1B 36 420 3 453 9.82874012072e-09 1.96574802415e-08 12.9428571429 8.0075
MACF1 50 406 9 447 9.9785718323e-09 1.99571436646e-08 6.11658456486 8.00093
DMD 54 402 11 445 1.02663345452e-08 2.05326690903e-08 5.434192673 7.98858
ANK3 52 404 10 446 1.02737234675e-08 2.05474469351e-08 5.74059405941 7.98827
SF3B1 26 430 0 456 1.03271715912e-08 2.06543431823e-08 inf 7.98602
TRPC4 33 423 2 454 1.07883306613e-08 2.15766613226e-08 17.7092198582 7.96705
MYH9 33 423 2 454 1.07883306613e-08 2.15766613226e-08 17.7092198582 7.96705
EPHA5 33 423 2 454 1.07883306613e-08 2.15766613226e-08 17.7092198582 7.96705
ZNF536 43 413 6 450 1.31622848297e-08 2.63245696594e-08 7.80871670702 7.88067
NIPBL 38 418 4 452 1.4777905347e-08 2.9555810694e-08 10.2727272727 7.83039
COL6A3 57 399 13 443 1.65149028422e-08 3.30298056845e-08 4.86813186813 7.78212
LRP2 53 403 11 445 1.80254583109e-08 3.60509166217e-08 5.32032483645 7.74411
PCDH18 29 427 1 455 1.87929784195e-08 3.7585956839e-08 30.9016393443 7.726
GRIK2 29 427 1 455 1.87929784195e-08 3.7585956839e-08 30.9016393443 7.726
CDH18 29 427 1 455 1.87929784195e-08 3.7585956839e-08 30.9016393443 7.726
ATRX 29 427 1 455 1.87929784195e-08 3.7585956839e-08 30.9016393443 7.726
DCHS2 40 416 5 451 1.97393449564e-08 3.94786899129e-08 8.67307692308 7.70467
DNAH10 69 387 20 436 2.08597997189e-08 4.17195994379e-08 3.88682170543 7.68069
UBR3 32 424 2 454 2.11010155942e-08 4.22020311884e-08 17.1320754717 7.6757
KCNB1 25 431 0 456 2.12533670565e-08 4.2506734113e-08 inf 7.67257
SCN1A 37 419 4 452 2.78728699106e-08 5.57457398213e-08 9.9785202864 7.55482
BNC2 37 419 4 452 2.78728699106e-08 5.57457398213e-08 9.9785202864 7.55482
DNAH11 78 378 26 430 3.09224384983e-08 6.18448769966e-08 3.4126984127 7.50973
TENM3 52 404 11 445 3.15126975793e-08 6.30253951586e-08 5.20702070207 7.50151
ADGRV1 68 388 20 436 3.45335039154e-08 6.90670078308e-08 3.8206185567 7.46176
NRXN2 34 422 3 453 3.61417944829e-08 7.22835889658e-08 12.1658767773 7.44199
IGSF9B 34 422 3 453 3.61417944829e-08 7.22835889658e-08 12.1658767773 7.44199
ASH1L 34 422 3 453 3.61417944829e-08 7.22835889658e-08 12.1658767773 7.44199
PLXNA1 39 417 5 451 3.66423777631e-08 7.32847555261e-08 8.43597122302 7.43602
DLG2 39 417 5 451 3.66423777631e-08 7.32847555261e-08 8.43597122302 7.43602
USP9X 28 428 1 455 3.75209791191e-08 7.50419582382e-08 29.7663551402 7.42573
SHANK1 28 428 1 455 3.75209791191e-08 7.50419582382e-08 29.7663551402 7.42573
PRPF8 28 428 1 455 3.75209791191e-08 7.50419582382e-08 29.7663551402 7.42573
CHRM2 28 428 1 455 3.75209791191e-08 7.50419582382e-08 29.7663551402 7.42573
AFF2 28 428 1 455 3.75209791191e-08 7.50419582382e-08 29.7663551402 7.42573
RELN 59 397 15 441 4.0681084836e-08 8.1362169672e-08 4.36926952141 7.39061
TCF7L2 31 425 2 454 4.11525862431e-08 8.23051724861e-08 16.5576470588 7.3856
SRCAP 31 425 2 454 4.11525862431e-08 8.23051724861e-08 16.5576470588 7.3856
SLIT1 31 425 2 454 4.11525862431e-08 8.23051724861e-08 16.5576470588 7.3856
FRG1 199 257 121 335 4.12305994953e-08 8.24611989906e-08 2.14377592694 7.38478
NLGN4X 24 432 0 456 4.36874767273e-08 8.73749534545e-08 inf 7.35964
ATP10A 41 415 6 450 4.42766999264e-08 8.85533998528e-08 7.40963855422 7.35382
DNAH8 57 399 14 442 4.4928961441e-08 8.98579228819e-08 4.51020408163 7.34747
ANK2 53 403 12 444 5.22949216093e-08 1.04589843219e-07 4.86600496278 7.28154
LRP1 49 407 10 446 5.62188473652e-08 1.1243769473e-07 5.36953316953 7.25012
CNTNAP5 33 423 3 453 6.89564205148e-08 1.3791284103e-07 11.780141844 7.16143
PRDM10 27 429 1 455 7.47391359631e-08 1.49478271926e-07 28.6363636364 7.12645
CTTNBP2 27 429 1 455 7.47391359631e-08 1.49478271926e-07 28.6363636364 7.12645
HERC2 68 388 21 435 7.88102603611e-08 1.57620520722e-07 3.63033873343 7.10342
NAV3 40 416 6 450 8.07130878659e-08 1.61426175732e-07 7.21153846154 7.09306
DYNC1H1 40 416 6 450 8.07130878659e-08 1.61426175732e-07 7.21153846154 7.09306
WWP1 23 433 0 456 8.96955353593e-08 1.79391070718e-07 inf 7.04723
TRPC3 23 433 0 456 8.96955353593e-08 1.79391070718e-07 inf 7.04723
SMARCA4 23 433 0 456 8.96955353593e-08 1.79391070718e-07 inf 7.04723
SLC12A5 23 433 0 456 8.96955353593e-08 1.79391070718e-07 inf 7.04723
COL5A2 23 433 0 456 8.96955353593e-08 1.79391070718e-07 inf 7.04723
ATP2B2 23 433 0 456 8.96955353593e-08 1.79391070718e-07 inf 7.04723
FRYL 42 414 7 449 9.0350479412e-08 1.80700958824e-07 6.50724637681 7.04407
HMCN1 66 390 20 436 9.33765802092e-08 1.86753160418e-07 3.68923076923 7.02976
RIMS2 44 412 8 448 9.63453260529e-08 1.92690652106e-07 5.98058252427 7.01617
CDH23 44 412 8 448 9.63453260529e-08 1.92690652106e-07 5.98058252427 7.01617
CDC27 35 421 4 452 9.80643246138e-08 1.96128649228e-07 9.39429928741 7.00849
ROBO2 46 410 9 447 9.88230604073e-08 1.97646120815e-07 5.57235772358 7.00514
DYNC2H1 64 392 19 437 1.09868304425e-07 2.1973660885e-07 3.75510204082 6.95913
TECTA 37 419 5 451 1.24775607682e-07 2.49551215364e-07 7.96515513126 6.90387
MAP2 32 424 3 453 1.31102988212e-07 2.62205976424e-07 11.3962264151 6.88239
TUBA3C 26 430 1 455 1.48520113335e-07 2.97040226669e-07 27.511627907 6.82821
DENND4B 26 430 1 455 1.48520113335e-07 2.97040226669e-07 27.511627907 6.82821
DCLK1 26 430 1 455 1.48520113335e-07 2.97040226669e-07 27.511627907 6.82821
CSGALNACT2 26 430 1 455 1.48520113335e-07 2.97040226669e-07 27.511627907 6.82821
CNTNAP4 26 430 1 455 1.48520113335e-07 2.97040226669e-07 27.511627907 6.82821
ADCY1 26 430 1 455 1.48520113335e-07 2.97040226669e-07 27.511627907 6.82821
PPFIA2 29 427 2 454 1.55112439294e-07 3.10224878588e-07 15.4168618267 6.80935
GRM1 29 427 2 454 1.55112439294e-07 3.10224878588e-07 15.4168618267 6.80935
GRIK3 29 427 2 454 1.55112439294e-07 3.10224878588e-07 15.4168618267 6.80935
CAMTA1 29 427 2 454 1.55112439294e-07 3.10224878588e-07 15.4168618267 6.80935
FBN1 41 415 7 449 1.61932233699e-07 3.23864467399e-07 6.33700516351 6.79067
COL5A1 47 409 10 446 1.70740108065e-07 3.4148021613e-07 5.12518337408 6.76766
CHD7 47 409 10 446 1.70740108065e-07 3.4148021613e-07 5.12518337408 6.76766
LRRK2 45 411 9 447 1.73378144643e-07 3.46756289285e-07 5.43795620438 6.76101
ARID2 34 422 4 452 1.8287942649e-07 3.6575885298e-07 9.10426540284 6.73784
ADGRB3 34 422 4 452 1.8287942649e-07 3.6575885298e-07 9.10426540284 6.73784
ZSWIM6 22 434 0 456 1.83937849008e-07 3.67875698017e-07 inf 6.73533
TLN1 22 434 0 456 1.83937849008e-07 3.67875698017e-07 inf 6.73533
HCFC1 22 434 0 456 1.83937849008e-07 3.67875698017e-07 inf 6.73533
GRIA4 22 434 0 456 1.83937849008e-07 3.67875698017e-07 inf 6.73533
FREM2 61 395 18 438 2.10951147733e-07 4.21902295465e-07 3.75780590717 6.67582
UBR4 54 402 14 442 2.17227440019e-07 4.34454880038e-07 4.24093816631 6.66309
NUP205 36 420 5 451 2.28830690384e-07 4.57661380767e-07 7.73142857143 6.64049
CELSR1 31 425 3 453 2.48352149614e-07 4.96704299228e-07 11.0141176471 6.60493
CDH8 31 425 3 453 2.48352149614e-07 4.96704299228e-07 11.0141176471 6.60493
SDK2 38 418 6 450 2.64792882775e-07 5.29585765549e-07 6.81818181818 6.57709
UNC13C 48 408 11 445 2.81382613296e-07 5.62765226591e-07 4.75935828877 6.5507
SACS 62 394 19 437 2.93524680862e-07 5.87049361723e-07 3.6192893401 6.53236
ZMYND8 25 431 1 455 2.9440825369e-07 5.88816507381e-07 26.3921113689 6.53105
TLL1 25 431 1 455 2.9440825369e-07 5.88816507381e-07 26.3921113689 6.53105
GRIA1 25 431 1 455 2.9440825369e-07 5.88816507381e-07 26.3921113689 6.53105
CNTN1 25 431 1 455 2.9440825369e-07 5.88816507381e-07 26.3921113689 6.53105
ATP2B3 25 431 1 455 2.9440825369e-07 5.88816507381e-07 26.3921113689 6.53105
ADCY2 25 431 1 455 2.9440825369e-07 5.88816507381e-07 26.3921113689 6.53105
ADAMTS5 25 431 1 455 2.9440825369e-07 5.88816507381e-07 26.3921113689 6.53105
ADGRL3 46 410 10 446 2.95476231836e-07 5.90952463671e-07 5.00390243902 6.52948
KIF13B 28 428 2 454 2.99712988913e-07 5.99425977826e-07 14.8504672897 6.52329
EML5 28 428 2 454 2.99712988913e-07 5.99425977826e-07 14.8504672897 6.52329
CUX2 28 428 2 454 2.99712988913e-07 5.99425977826e-07 14.8504672897 6.52329
SCN5A 42 414 8 448 3.01186947175e-07 6.02373894349e-07 5.68115942029 6.52116
BIRC6 42 414 8 448 3.01186947175e-07 6.02373894349e-07 5.68115942029 6.52116
UNC79 44 412 9 447 3.02763788401e-07 6.05527576801e-07 5.30420711974 6.5189
DIDO1 33 423 4 452 3.39677085278e-07 6.79354170557e-07 8.81560283688 6.46893
ZFHX3 53 403 14 442 3.63846565084e-07 7.27693130168e-07 4.15207373272 6.43908
KCNQ2 21 435 0 456 3.76755456245e-07 7.5351091249e-07 inf 6.42394
KCNA1 21 435 0 456 3.76755456245e-07 7.5351091249e-07 inf 6.42394
JAKMIP2 21 435 0 456 3.76755456245e-07 7.5351091249e-07 inf 6.42394
GLUD2 21 435 0 456 3.76755456245e-07 7.5351091249e-07 inf 6.42394
DROSHA 21 435 0 456 3.76755456245e-07 7.5351091249e-07 inf 6.42394
DICER1 21 435 0 456 3.76755456245e-07 7.5351091249e-07 inf 6.42394
PREX2 35 421 5 451 4.17855148596e-07 8.35710297191e-07 7.49881235154 6.37897
FLNA 35 421 5 451 4.17855148596e-07 8.35710297191e-07 7.49881235154 6.37897
DOPEY1 35 421 5 451 4.17855148596e-07 8.35710297191e-07 7.49881235154 6.37897
CACNA1A 35 421 5 451 4.17855148596e-07 8.35710297191e-07 7.49881235154 6.37897
PTPRK 30 426 3 453 4.68684079678e-07 9.37368159356e-07 10.6338028169 6.32912
CNTN5 30 426 3 453 4.68684079678e-07 9.37368159356e-07 10.6338028169 6.32912
ACACA 30 426 3 453 4.68684079678e-07 9.37368159356e-07 10.6338028169 6.32912
PXDN 37 419 6 450 4.76410025088e-07 9.52820050176e-07 6.62291169451 6.32202
NCOR1 37 419 6 450 4.76410025088e-07 9.52820050176e-07 6.62291169451 6.32202
APC 37 419 6 450 4.76410025088e-07 9.52820050176e-07 6.62291169451 6.32202
XIRP2 45 411 10 446 5.08876023702e-07 1.0177520474e-06 4.88321167883 6.29339
CREBBP 45 411 10 446 5.08876023702e-07 1.0177520474e-06 4.88321167883 6.29339
NOS1 39 417 7 449 5.1310653707e-07 1.02621307414e-06 5.99897225077 6.28979
GLI3 39 417 7 449 5.1310653707e-07 1.02621307414e-06 5.99897225077 6.28979
DNAH6 39 417 7 449 5.1310653707e-07 1.02621307414e-06 5.99897225077 6.28979
CSMD2 64 392 21 435 5.38498471671e-07 1.07699694334e-06 3.38192419825 6.26882
PCDH7 27 429 2 454 5.77184253358e-07 1.15436850671e-06 14.2867132867 6.23869
STAG1 24 432 1 455 5.82106108826e-07 1.16421221765e-06 25.2777777778 6.235
SETBP1 24 432 1 455 5.82106108826e-07 1.16421221765e-06 25.2777777778 6.235
SCN8A 24 432 1 455 5.82106108826e-07 1.16421221765e-06 25.2777777778 6.235
PTPRZ1 24 432 1 455 5.82106108826e-07 1.16421221765e-06 25.2777777778 6.235
MYO16 24 432 1 455 5.82106108826e-07 1.16421221765e-06 25.2777777778 6.235
IQSEC3 24 432 1 455 5.82106108826e-07 1.16421221765e-06 25.2777777778 6.235
CDH11 24 432 1 455 5.82106108826e-07 1.16421221765e-06 25.2777777778 6.235
BAGE3 24 432 1 455 5.82106108826e-07 1.16421221765e-06 25.2777777778 6.235
ITPR1 32 424 4 452 6.2827552979e-07 1.25655105958e-06 8.52830188679 6.20185
FN1 50 406 13 443 6.7966185919e-07 1.35932371838e-06 4.19666540356 6.16771
DNAH1 65 391 22 434 7.12130258872e-07 1.42426051774e-06 3.27946989072 6.14744
WBSCR17 34 422 5 451 7.5962211925e-07 1.5192442385e-06 7.2672985782 6.1194
SULF1 20 436 0 456 7.70793272867e-07 1.54158654574e-06 inf 6.11306
SMC1A 20 436 0 456 7.70793272867e-07 1.54158654574e-06 inf 6.11306
PCMTD1 20 436 0 456 7.70793272867e-07 1.54158654574e-06 inf 6.11306
NRAS 20 436 0 456 7.70793272867e-07 1.54158654574e-06 inf 6.11306
GNAS 20 436 0 456 7.70793272867e-07 1.54158654574e-06 inf 6.11306
EVC2 20 436 0 456 7.70793272867e-07 1.54158654574e-06 inf 6.11306
ASCC3 20 436 0 456 7.70793272867e-07 1.54158654574e-06 inf 6.11306
NRG1 36 420 6 450 8.53161186595e-07 1.70632237319e-06 6.42857142857 6.06897
DAPK1 36 420 6 450 8.53161186595e-07 1.70632237319e-06 6.42857142857 6.06897
WDFY4 29 427 3 453 8.8101485789e-07 1.76202971578e-06 10.2552693208 6.05502
TRIP12 29 427 3 453 8.8101485789e-07 1.76202971578e-06 10.2552693208 6.05502
SLIT2 29 427 3 453 8.8101485789e-07 1.76202971578e-06 10.2552693208 6.05502
KIF1A 29 427 3 453 8.8101485789e-07 1.76202971578e-06 10.2552693208 6.05502
SCN9A 51 405 14 442 1.00568040271e-06 2.01136080542e-06 3.97566137566 5.99754
DNAH9 56 400 17 439 1.07140361435e-06 2.1428072287e-06 3.61529411765 5.97005
TRHDE 26 430 2 454 1.10767281916e-06 2.21534563833e-06 13.7255813953 5.95559
PRKD1 26 430 2 454 1.10767281916e-06 2.21534563833e-06 13.7255813953 5.95559
PLCG2 26 430 2 454 1.10767281916e-06 2.21534563833e-06 13.7255813953 5.95559
MAP1B 26 430 2 454 1.10767281916e-06 2.21534563833e-06 13.7255813953 5.95559
KIF21A 26 430 2 454 1.10767281916e-06 2.21534563833e-06 13.7255813953 5.95559
EPHA3 26 430 2 454 1.10767281916e-06 2.21534563833e-06 13.7255813953 5.95559
CHST15 26 430 2 454 1.10767281916e-06 2.21534563833e-06 13.7255813953 5.95559
LAMA1 49 407 13 443 1.13372929715e-06 2.26745859431e-06 4.10262710263 5.94549
KMT2D 49 407 13 443 1.13372929715e-06 2.26745859431e-06 4.10262710263 5.94549
SLC8A1 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
MYT1L 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
KLHL4 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
GRM7 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
GRIK4 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
GABRA5 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
FAM135B 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
DOCK11 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
CNTN6 31 425 4 452 1.15703315048e-06 2.31406630096e-06 8.24235294118 5.93665
DCHS1 47 409 12 444 1.26131293935e-06 2.5226258787e-06 4.25183374083 5.89918
NCAM1 33 423 5 451 1.37454163328e-06 2.74908326656e-06 7.03687943262 5.86184
DOCK3 33 423 5 451 1.37454163328e-06 2.74908326656e-06 7.03687943262 5.86184
NCOR2 43 413 10 446 1.48684606237e-06 2.97369212473e-06 4.64358353511 5.82773
EP400 43 413 10 446 1.48684606237e-06 2.97369212473e-06 4.64358353511 5.82773
MEGF8 35 421 6 450 1.5204978215e-06 3.040995643e-06 6.2351543943 5.81801
DMXL2 35 421 6 450 1.5204978215e-06 3.040995643e-06 6.2351543943 5.81801
CHD8 35 421 6 450 1.5204978215e-06 3.040995643e-06 6.2351543943 5.81801
ZFYVE9 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
TFAP2D 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
SLC4A10 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
MAPK8IP3 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
MAP4K4 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
MAP2K4 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
KDM3B 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
FAM91A1 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
DCAF12L2 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
ATP1A3 19 437 0 456 1.57509929673e-06 3.15019859346e-06 inf 5.80269
PLXNA2 37 419 7 449 1.59495777732e-06 3.18991555464e-06 5.66416638254 5.79725
KALRN 37 419 7 449 1.59495777732e-06 3.18991555464e-06 5.66416638254 5.79725
ADCY8 37 419 7 449 1.59495777732e-06 3.18991555464e-06 5.66416638254 5.79725
CACNA1H 39 417 8 448 1.60601093791e-06 3.21202187582e-06 5.23741007194 5.79425
DNAH2 60 396 20 436 1.6477186243e-06 3.2954372486e-06 3.30303030303 5.78312
ZEB2 28 428 3 453 1.64931811869e-06 3.29863623739e-06 9.8785046729 5.7827
TMEM132B 28 428 3 453 1.64931811869e-06 3.29863623739e-06 9.8785046729 5.7827
NRXN3 28 428 3 453 1.64931811869e-06 3.29863623739e-06 9.8785046729 5.7827
CHL1 28 428 3 453 1.64931811869e-06 3.29863623739e-06 9.8785046729 5.7827
CDH4 28 428 3 453 1.64931811869e-06 3.29863623739e-06 9.8785046729 5.7827
DNAH17 66 390 24 432 1.86787948306e-06 3.73575896612e-06 3.04615384615 5.72865
WWC3 25 431 2 454 2.11801000813e-06 4.23602001627e-06 13.1670533643 5.67407
FBXL7 25 431 2 454 2.11801000813e-06 4.23602001627e-06 13.1670533643 5.67407
ATP8A2 30 426 4 452 2.12117355515e-06 4.24234711031e-06 7.95774647887 5.67342
ZNF292 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
SLITRK6 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
PXDNL 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
PTK2 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
PTCHD2 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
MDGA2 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
LCT 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
KCTD1 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
KCNH5 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
CDK12 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
ACVR1B 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
DYSF 51 405 15 441 2.36312058015e-06 4.72624116029e-06 3.70222222222 5.62651
TANC2 32 424 5 451 2.47530557466e-06 4.95061114933e-06 6.80754716981 5.60637
TNS1 42 414 10 446 2.52177131303e-06 5.04354262606e-06 4.52463768116 5.59829
MYH14 42 414 10 446 2.52177131303e-06 5.04354262606e-06 4.52463768116 5.59829
ITPR3 42 414 10 446 2.52177131303e-06 5.04354262606e-06 4.52463768116 5.59829
