#Gene	 Score
KCTD1	 0.30103
KCNS2	 0.30103
KCNJ8	 0.30103
KCNG2	 0.30103
KCNG1	 0.30103
KCNF1	 0.30103
KCNC1	 0.30103
KCNA4	 0.30103
ITGA4	 0.30103
INTS3	 0.30103
IL1RAPL2	 0.30103
HTR1E	 0.30103
HS6ST3	 0.30103
HDX	 0.30103
GTF3C3	 0.30103
GRM3	 0.30103
GRIK3	 0.30103
GRIK2	 0.30103
GRIA1	 0.30103
GNB4	 0.30103
GLI3	 0.30103
GALNT9	 0.30103
GALNT13	 0.30103
GAGE2D	 0.30103
GABRA1	 0.30103
G3BP1	 0.30103
FZD7	 0.30103
FUT9	 0.30103
FRY	 0.30103
FLRT3	 0.30103
FLRT2	 0.30103
FGD1	 0.30103
FAM19A1	 0.30103
ELOVL6	 0.30103
ELAVL1	 0.30103
EFTUD2	 0.30103
DIP2C	 0.30103
DIAPH2	 0.30103
DHX9	 0.30103
DDX23	 0.30103
DAAM1	 0.30103
CUX2	 0.30103
CUL3	 0.30103
CUL1	 0.30103
CTR9	 0.30103
CTCF	 0.30103
CSDE1	 0.30103
COPS6	 0.30103
COL11A1	 0.30103
CLCN4	 0.30103
CHD4	 0.30103
CDK1	 0.30103
CDH22	 0.30103
CBX1	 0.30103
CASK	 0.30103
CAMK1D	 0.30103
CADM1	 0.30103
CACYBP	 0.30103
BMP7	 0.30103
BANP	 0.30103
B3GAT1	 0.30103
ATXN1	 0.30103
ARHGEF6	 0.30103
AKT3	 0.30103
AGO2	 0.30103
ACTA1	 0.30103
ACRC	 0.30103
CSMD3	 0.25723
DLG2	 0.243592
NRG1	 0.2421
ASH1L	 0.2421
PCDH18	 0.238661
SPTAN1	 0.234421
PCDH9	 0.234421
ADCY8	 0.234421
PTPRM	 0.231898
PCDHGB4	 0.231898
MET	 0.231898
EPHA5	 0.231898
NRXN3	 0.229023
GRIK5	 0.229023
DENND5A	 0.229023
CLEC18B	 0.229023
ADCY2	 0.229023
SFMBT2	 0.225709
PCDHGB6	 0.225709
BRINP1	 0.225709
ATP8A2	 0.225709
ZNF564	 0.221832
UBE4B	 0.221832
TMEM117	 0.221832
TAF1	 0.221832
OR11H1	 0.221832
KIAA2022	 0.221832
JAG1	 0.221832
HLA-C	 0.221832
HCN1	 0.221832
GUCY1A3	 0.221832
GPR32	 0.221832
CACNA2D3	 0.221832
ADGRB2	 0.221832
ADAMTS5	 0.221832
ZNF569	 0.217211
ZAP70	 0.217211
ST6GAL2	 0.217211
OR5H14	 0.217211
OR2L3	 0.217211
JAKMIP2	 0.217211
IPO5	 0.217211
DHX8	 0.217211
CDH6	 0.217211
BCOR	 0.217211
ASAP1	 0.217211
SEMA3C	 0.211576
RPS6KA2	 0.211576
NOL4	 0.211576
NLGN4X	 0.211576
MAGEA6	 0.211576
HAVCR1	 0.211576
GOLGA6L1	 0.211576
FCGR3A	 0.211576
ANO4	 0.211576
MYCBP2	 0.205285
ZSWIM6	 0.20449
ZIM2	 0.20449
XPOT	 0.20449
UPF1	 0.20449
TRPC5	 0.20449
SLITRK4	 0.20449
SLC6A2	 0.20449
RNF40	 0.20449
RNF145	 0.20449
PICALM	 0.20449
PAX3	 0.20449
NLGN3	 0.20449
KRTAP1-3	 0.20449
KCNB2	 0.20449
INHBA	 0.20449
HCFC2	 0.20449
GABRA2	 0.20449
FAF1	 0.20449
C1orf228	 0.20449
APLP1	 0.20449
LRRK2	 0.2036
ZNF586	 0.195195
ZNF385A	 0.195195
ZMYND11	 0.195195
SLC5A3	 0.195195
SHOX	 0.195195
RABGAP1	 0.195195
PTCHD1	 0.195195
POLR2B	 0.195195
PLEKHA2	 0.195195
NTM	 0.195195
NR0B1	 0.195195
MMP16	 0.195195
KIF5C	 0.195195
KCNV1	 0.195195
EZH2	 0.195195
EPHA4	 0.195195
DHX30	 0.195195
CSE1L	 0.195195
CRMP1	 0.195195
CNR1	 0.195195
ATCAY	 0.195195
ADARB1	 0.195195
NFASC	 0.190458
ADGRB3	 0.187563
PCDHGA5	 0.184381
NCOA2	 0.184381
HDAC9	 0.184381
ARFGEF2	 0.184381
XPR1	 0.18222
VPRBP	 0.18222
VCP	 0.18222
USP48	 0.18222
TMEFF2	 0.18222
TDG	 0.18222
TBC1D25	 0.18222
TAF4	 0.18222
SOX5	 0.18222
SMARCA5	 0.18222
SLCO3A1	 0.18222
SLC6A1	 0.18222
SDHD	 0.18222
PPP2R2C	 0.18222
OLFM1	 0.18222
NUP54	 0.18222
MTA2	 0.18222
MAEL	 0.18222
LNP1	 0.18222
KCND2	 0.18222
ITGB1	 0.18222
ISL1	 0.18222
HTR1B	 0.18222
HS6ST2	 0.18222
HNRNPL	 0.18222
GPBP1	 0.18222
GFRA1	 0.18222
GABRB2	 0.18222
DDX46	 0.18222
CPEB1	 0.18222
CNKSR2	 0.18222
CHST11	 0.18222
CHST1	 0.18222
CHRNB2	 0.18222
CHRM1	 0.18222
CDYL2	 0.18222
CDC73	 0.18222
ASPN	 0.18222
ARNT2	 0.18222
ARHGAP28	 0.18222
AKT1	 0.18222
AGO3	 0.18222
ADAP2	 0.18222
SCN3A	 0.180862
NPAS4	 0.180862
KIT	 0.180862
TRRAP	 0.176942
HCFC1	 0.176942
CHST15	 0.176942
CDH11	 0.176942
PTPRK	 0.172539
MYO5A	 0.172539
KSR2	 0.172539
KCNA5	 0.172539
PER3	 0.167679
ZMYND8	 0.167548
TRIM55	 0.167548
SOGA3	 0.167548
RAPGEF2	 0.167548
LRFN2	 0.167548
HDLBP	 0.167548
CTNNA1	 0.167548
CCDC30	 0.167548
ZNF385D	 0.162186
ZBTB14	 0.162186
XK	 0.162186
XIAP	 0.162186
WNT3	 0.162186
USP7	 0.162186
TIMP3	 0.162186
TGIF2LX	 0.162186
TCEA2	 0.162186
SPANXN2	 0.162186
SPANXC	 0.162186
SOX11	 0.162186
SLU7	 0.162186
SLC7A1	 0.162186
SEC63	 0.162186
MSL2	 0.162186
LPAR4	 0.162186
KIF3A	 0.162186
KHDRBS3	 0.162186
KCNK9	 0.162186
KCNJ3	 0.162186
KCNA6	 0.162186
KCMF1	 0.162186
IGF2BP1	 0.162186
HSPA8	 0.162186
HN1L	 0.162186
HLA-DRA	 0.162186
HDAC3	 0.162186
GSK3B	 0.162186
GLRA3	 0.162186
FOXD4L5	 0.162186
FOXD4L3	 0.162186
FIP1L1	 0.162186
FCGR2B	 0.162186
FADS2	 0.162186
CUL5	 0.162186
CSNK2A2	 0.162186
CSNK2A1	 0.162186
CASP2	 0.162186
CAMK2D	 0.162186
AP1M2	 0.162186
ACTR3B	 0.162186
ACTC1	 0.162186
TAX1BP1	 0.161823
SLC8A1	 0.161823
OR5F1	 0.161823
MYT1L	 0.161823
MDGA2	 0.161823
HECTD1	 0.161823
DCLK1	 0.161823
CTNND2	 0.161823
CADPS	 0.161823
ATP4A	 0.161823
ARHGEF7	 0.161823
ADGRL3	 0.158378
NOS1	 0.155634
NBEA	 0.155634
SNTG1	 0.155164
SETDB1	 0.155164
RALGAPB	 0.155164
POU4F2	 0.155164
OR2M4	 0.155164
MED1	 0.155164
MARK1	 0.155164
KIF21B	 0.155164
JAK1	 0.155164
IARS2	 0.155164
DROSHA	 0.155164
NAV3	 0.15268
ARHGEF26	 0.15268
ARHGAP23	 0.15268
FMN2	 0.152191
CACNA1B	 0.149491
ARID2	 0.149491
TSSK1B	 0.147285
TLE4	 0.147285
SLITRK2	 0.147285
SLC9B1	 0.147285
RB1	 0.147285
PUM2	 0.147285
OR8H2	 0.147285
NUAK1	 0.147285
NMUR2	 0.147285
MON1B	 0.147285
HSPA2	 0.147285
GLE1	 0.147285
FBXO10	 0.147285
ERC2	 0.147285
CHD2	 0.147285
CHD1	 0.147285
CFAP77	 0.147285
ATP11C	 0.147285
PCDHB2	 0.146034
PCDHA4	 0.146034
IGSF9B	 0.146034
ZNF845	 0.142269
LRRC37A2	 0.142269
ITPR1	 0.142269
EPHA3	 0.142269
ARHGAP35	 0.142269
SLIT2	 0.138151
REST	 0.138151
PCDHA3	 0.138151
EPHB1	 0.138151
DAPK1	 0.138151
ZSCAN31	 0.137755
ZNF573	 0.137755
ZIC4	 0.137755
VEGFC	 0.137755
UBTFL1	 0.137755
TRIM46	 0.137755
TCERG1	 0.137755
STEAP1	 0.137755
SLC39A10	 0.137755
SIRPA	 0.137755
SAMHD1	 0.137755
RUNX1T1	 0.137755
RC3H1	 0.137755
PYHIN1	 0.137755
PROKR1	 0.137755
PRKCD	 0.137755
PPIAL4C	 0.137755
OR5D14	 0.137755
LZTR1	 0.137755
LRCH2	 0.137755
KDM5C	 0.137755
IL18RAP	 0.137755
GOLGA6B	 0.137755
GML	 0.137755
F2	 0.137755
CYP7B1	 0.137755
CPXCR1	 0.137755
CERS6	 0.137755
CA6	 0.137755
ATP2A2	 0.137755
ALDH1A1	 0.137755
ZNF658	 0.133621
PREX2	 0.133621
PCDHA6	 0.133621
NCAM1	 0.133621
KDM5B	 0.133621
FILIP1	 0.133621
APBA2	 0.133621
ZFAT	 0.128605
TRPV6	 0.128605
SAGE1	 0.128605
NDST3	 0.128605
LRRC7	 0.128605
IGSF1	 0.128605
FAM47B	 0.128605
CNTNAP2	 0.128605
BACH2	 0.128605
ZNHIT6	 0.12589
ZNF709	 0.12589
VPS53	 0.12589
TUSC3	 0.12589
TRPC6	 0.12589
TNPO1	 0.12589
TLE3	 0.12589
SSTR1	 0.12589
SIM1	 0.12589
SCG2	 0.12589
RTFDC1	 0.12589
RSPO2	 0.12589
RBM10	 0.12589
RBFOX1	 0.12589
QRICH1	 0.12589
PRSS1	 0.12589
PHF24	 0.12589
PCDH19	 0.12589
OR5K3	 0.12589
NRBP1	 0.12589
KLHL5	 0.12589
GABRG1	 0.12589
FER	 0.12589
DPY19L1	 0.12589
BTK	 0.12589
BRD9	 0.12589
BMPR1A	 0.12589
ARSB	 0.12589
ARHGEF2	 0.12589
ZNF664	 0.124609
ZNF275	 0.124609
ZMAT4	 0.124609
ZIC1	 0.124609
WDR13	 0.124609
VEZF1	 0.124609
UGCG	 0.124609
UBQLN2	 0.124609
UBE3A	 0.124609
TUBB4A	 0.124609
TMCO5A	 0.124609
TM9SF2	 0.124609
TCEAL6	 0.124609
SYNCRIP	 0.124609
STRBP	 0.124609
STAG2	 0.124609
ST8SIA1	 0.124609
SRSF7	 0.124609
SLC25A28	 0.124609
SIAH2	 0.124609
SEPHS1	 0.124609
RPS5	 0.124609
RPL5	 0.124609
RLIM	 0.124609
RGS10	 0.124609
RCOR3	 0.124609
RAB4B	 0.124609
RAB3C	 0.124609
PURG	 0.124609
PRPS2	 0.124609
PPP3CA	 0.124609
PPP2R5A	 0.124609
POU3F3	 0.124609
PLP1	 0.124609
OTC	 0.124609
OOEP	 0.124609
NR2E1	 0.124609
NONO	 0.124609
MAX	 0.124609
MAPRE3	 0.124609
LRRTM2	 0.124609
KHSRP	 0.124609
KCNG3	 0.124609
HACE1	 0.124609
GTPBP2	 0.124609
GPR34	 0.124609
GNAQ	 0.124609
GABRA3	 0.124609
FUNDC2	 0.124609
FOXD4L6	 0.124609
FMR1NB	 0.124609
FBXW2	 0.124609
FBXW11	 0.124609
ELAVL2	 0.124609
EIF3L	 0.124609
DHX15	 0.124609
DEFB104B	 0.124609
CDNF	 0.124609
CACNG7	 0.124609
CACNG3	 0.124609
BTBD10	 0.124609
ATP1A1	 0.124609
ARL4A	 0.124609
APPBP2	 0.124609
ANKRD34A	 0.124609
ZSWIM2	 0.123011
ZNF799	 0.123011
TRO	 0.123011
SMC1B	 0.123011
EIF3A	 0.123011
CDH4	 0.123011
BNC1	 0.123011
ARHGEF5	 0.123011
ALS2	 0.123011
CHD8	 0.122766
TMEM132B	 0.119605
TEKT4	 0.119605
ROBO2	 0.119605
ZCCHC5	 0.11672
SMARCA2	 0.11672
PIK3CG	 0.11672
HELB	 0.11672
GTF2IRD2B	 0.11672
SMG1	 0.116218
LCT	 0.116218
CREBBP	 0.116218
PRB2	 0.11258
NBPF12	 0.11258
GNAS	 0.11258
BNC2	 0.11258
TENM3	 0.111509
ZNF781	 0.11052
ZNF383	 0.11052
YTHDF2	 0.11052
XKR6	 0.11052
WNT5A	 0.11052
UHRF2	 0.11052
UBA2	 0.11052
TTLL1	 0.11052
TRIM3	 0.11052
TOM1L2	 0.11052
TMEM74	 0.11052
THRB	 0.11052
STAT4	 0.11052
SKA3	 0.11052
SFPQ	 0.11052
RBM46	 0.11052
PTPN11	 0.11052
PRDM14	 0.11052
PPFIA3	 0.11052
POU3F4	 0.11052
POLR2A	 0.11052
PHEX	 0.11052
PARP6	 0.11052
PACRG	 0.11052
OR6N1	 0.11052
NPTX2	 0.11052
NCKAP1	 0.11052
NAP1L2	 0.11052
MCHR2	 0.11052
MATK	 0.11052
MARK4	 0.11052
LINGO1	 0.11052
LEO1	 0.11052
LCE2B	 0.11052
KLHL14	 0.11052
KIF5B	 0.11052
KDM2A	 0.11052
KAT8	 0.11052
GREM2	 0.11052
GPC3	 0.11052
GNAT1	 0.11052
GMEB2	 0.11052
GLRA1	 0.11052
GK2	 0.11052
FZD3	 0.11052
FNBP1	 0.11052
FBXL20	 0.11052
FBXL19	 0.11052
FAM78B	 0.11052
FAM110B	 0.11052
DKK2	 0.11052
DCAF4L1	 0.11052
CPNE8	 0.11052
CHEK1	 0.11052
APBA1	 0.11052
ALDH6A1	 0.11052
ALDH1A3	 0.11052
ACTR1B	 0.11052
ACADSB	 0.11052
ZNF667	 0.109574
UBR3	 0.109574
TNKS	 0.109574
TAOK3	 0.109574
RASGRF2	 0.109574
PRR21	 0.109574
OSBPL6	 0.109574
NRG3	 0.109574
LRP12	 0.109574
KCNMA1	 0.109574
IFI16	 0.109574
GRM7	 0.109574
FOXK1	 0.109574
FAM91A1	 0.109574
AP3B2	 0.109574
SHROOM4	 0.108657
SCUBE2	 0.108657
NRXN2	 0.108657
GRM1	 0.108657
MUC6	 0.107068
A2M	 0.106858
TANC1	 0.104413
SALL1	 0.104413
NIPBL	 0.104413
NCOR1	 0.104413
ATRX	 0.104413
APC	 0.104346
FBN1	 0.101696
UPF2	 0.101361
UGT3A2	 0.101361
TRHDE	 0.101361
THOC2	 0.101361
TBX18	 0.101361
SYNPO2L	 0.101361
SMARCAD1	 0.101361
SMARCA4	 0.101361
PRDM10	 0.101361
PI15	 0.101361
OR10H1	 0.101361
LMBRD2	 0.101361
KLHL3	 0.101361
KDM3B	 0.101361
KCNH4	 0.101361
JAKMIP1	 0.101361
GPR37	 0.101361
DLGAP1	 0.101361
CLIP1	 0.101361
BMPR2	 0.101361
ADGRL1	 0.101361
ACTN1	 0.101361
OR5L1	 0.0998017
CACNA1F	 0.0998017
FBXW10	 0.0959327
ZNF814	 0.0947699
TRPA1	 0.0947699
PXDN	 0.0947699
PCDH7	 0.0947699
OR13C2	 0.0947699
KCNH5	 0.0947699
FOXD4L1	 0.0947699
EPHA6	 0.0947699
CFH	 0.0947699
USP34	 0.0927898
TIAM1	 0.0927898
ZNF398	 0.0917844
ZFR	 0.0917844
ZBTB46	 0.0917844
TRIM33	 0.0917844
STXBP5	 0.0917844
SMARCA1	 0.0917844
SLC5A2	 0.0917844
SLC1A1	 0.0917844
SF1	 0.0917844
ROCK2	 0.0917844
ROCK1	 0.0917844
RASA2	 0.0917844
PPIAL4G	 0.0917844
PDE2A	 0.0917844
OGDH	 0.0917844
NTRK2	 0.0917844
NSUN2	 0.0917844
NAA15	 0.0917844
MR1	 0.0917844
LRRTM1	 0.0917844
KLHL20	 0.0917844
GPR101	 0.0917844
FIGN	 0.0917844
FAM171B	 0.0917844
EPB41L1	 0.0917844
EFEMP1	 0.0917844
EDNRB	 0.0917844
CYFIP2	 0.0917844
CXCR2	 0.0917844
CCDC85A	 0.0917844
ARNTL2	 0.0917844
AP2A2	 0.0917844
AMY2A	 0.0917844
AMPH	 0.0917844
ADAM10	 0.0917844
DOCK4	 0.0894503
ZNF821	 0.0894137
ZNF345	 0.0894137
ZER1	 0.0894137
ZDHHC15	 0.0894137
TRIB2	 0.0894137
TRAF7	 0.0894137
TRAF4	 0.0894137
TNFAIP6	 0.0894137
TMEM63B	 0.0894137
TCP1	 0.0894137
TBX22	 0.0894137
TADA3	 0.0894137
SSBP3	 0.0894137
SOCS5	 0.0894137
SNX27	 0.0894137
SNRK	 0.0894137
SLC35F3	 0.0894137
SLC17A7	 0.0894137
SFRP4	 0.0894137
SESTD1	 0.0894137
SEPT5	 0.0894137
SEPT3	 0.0894137
RPA4	 0.0894137
RNGTT	 0.0894137
RFX4	 0.0894137
RFX3	 0.0894137
RBMX	 0.0894137
RBM26	 0.0894137
PTPN6	 0.0894137
PSTPIP2	 0.0894137
PRPF31	 0.0894137
PNPLA6	 0.0894137
PDE1B	 0.0894137
PABPC1	 0.0894137
OTUD6A	 0.0894137
OR2A7	 0.0894137
OR14A16	 0.0894137
ONECUT2	 0.0894137
NTNG2	 0.0894137
NOVA1	 0.0894137
NLGN4Y	 0.0894137
NCBP1	 0.0894137
NAP1L1	 0.0894137
MSANTD3-TMEFF1	 0.0894137
MEIS1	 0.0894137
MARK2	 0.0894137
MAGED2	 0.0894137
MAB21L1	 0.0894137
LMX1B	 0.0894137
LGI1	 0.0894137
KLHL11	 0.0894137
KCTD9	 0.0894137
IL1RAPL1	 0.0894137
HTRA1	 0.0894137
HS3ST4	 0.0894137
HDC	 0.0894137
GTF2A1	 0.0894137
GPR26	 0.0894137
GPR12	 0.0894137
GNRH1	 0.0894137
GNL3L	 0.0894137
GGA2	 0.0894137
FZR1	 0.0894137
FMR1	 0.0894137
FLOT1	 0.0894137
FBXO11	 0.0894137
FAM46D	 0.0894137
FAM120C	 0.0894137
EXOSC5	 0.0894137
ERLIN2	 0.0894137
ENOX2	 0.0894137
EML1	 0.0894137
EEF2	 0.0894137
DYNC1I2	 0.0894137
DYNC1I1	 0.0894137
DRD2	 0.0894137
DNMT3A	 0.0894137
CYLD	 0.0894137
CXorf57	 0.0894137
CUL4B	 0.0894137
CUL2	 0.0894137
CSNK1E	 0.0894137
CPEB4	 0.0894137
CNOT2	 0.0894137
CLDN10	 0.0894137
CHRDL1	 0.0894137
CELF4	 0.0894137
CCL22	 0.0894137
CAMK2G	 0.0894137
CADM3	 0.0894137
C9orf72	 0.0894137
BSX	 0.0894137
BRS3	 0.0894137
BRE	 0.0894137
AP3M2	 0.0894137
AGO4	 0.0894137
ZNF285	 0.0892514
TRIM37	 0.0892514
TNIK	 0.0892514
RXFP2	 0.0892514
PHKA2	 0.0892514
PAXIP1	 0.0892514
OTUD4	 0.0892514
MME	 0.0892514
MAP4K4	 0.0892514
KCNH8	 0.0892514
IQSEC3	 0.0892514
DPP6	 0.0892514
BRD1	 0.0892514
ADGRG3	 0.0892514
ABLIM3	 0.0892514
WDR66	 0.0858943
AFF3	 0.0858943
SEZ6L2	 0.0831658
NF1	 0.0831658
KRT6C	 0.0831658
KCNJ18	 0.0831658
HSPA1L	 0.0831658
GPR149	 0.0831658
DNMT1	 0.0831658
ZC3H13	 0.0820994
PLXNA2	 0.0820994
FAM47C	 0.0820994
ANK2	 0.0819518
ZRANB1	 0.0804232
ZNF827	 0.0804232
ZNF653	 0.0804232
ZNF449	 0.0804232
ZNF354A	 0.0804232
WDR47	 0.0804232
USP9Y	 0.0804232
TRPV3	 0.0804232
TRIM77	 0.0804232
TMPRSS11D	 0.0804232
TLE1	 0.0804232
THOC5	 0.0804232
TCF4	 0.0804232
STRN3	 0.0804232
SRP68	 0.0804232
SLTM	 0.0804232
SLC5A1	 0.0804232
RGS6	 0.0804232
RAP1GDS1	 0.0804232
PLD5	 0.0804232
PDE10A	 0.0804232
PAN3	 0.0804232
P2RY8	 0.0804232
P2RY4	 0.0804232
NANOS2	 0.0804232
MUM1L1	 0.0804232
MGAT5	 0.0804232
MGAT3	 0.0804232
MBD1	 0.0804232
MAGEC2	 0.0804232
LMOD1	 0.0804232
KIAA1468	 0.0804232
KCTD8	 0.0804232
JRKL	 0.0804232
