#Gene	 Score
PCDHA10	 0.0277998
NBEAL1	 0.0277998
KIAA1217	 0.0277998
COL24A1	 0.0277998
ZNF98	 0.0276336
ZNF679	 0.0276336
ZNF569	 0.0276336
ZNF548	 0.0276336
XKR7	 0.0276336
VNN1	 0.0276336
TTLL1	 0.0276336
TM7SF3	 0.0276336
TLX1	 0.0276336
TIMP3	 0.0276336
TFAP2D	 0.0276336
TFAP2B	 0.0276336
SLC38A11	 0.0276336
SLC35F3	 0.0276336
SCTR	 0.0276336
RXFP3	 0.0276336
RRP7A	 0.0276336
POTEA	 0.0276336
PARN	 0.0276336
OR10J3	 0.0276336
NOCT	 0.0276336
NETO1	 0.0276336
MYL1	 0.0276336
MMP13	 0.0276336
MICU3	 0.0276336
MGAT4A	 0.0276336
MCM10	 0.0276336
MAGEA8	 0.0276336
LRRC6	 0.0276336
KHDRBS3	 0.0276336
JAM3	 0.0276336
IBSP	 0.0276336
GLT1D1	 0.0276336
GIMAP7	 0.0276336
GIF	 0.0276336
FOXI2	 0.0276336
FNDC8	 0.0276336
FBXO39	 0.0276336
FAM98B	 0.0276336
FAM69C	 0.0276336
DNTT	 0.0276336
DDX6	 0.0276336
CSNK1A1L	 0.0276336
CLK2	 0.0276336
CHST2	 0.0276336
CHI3L2	 0.0276336
CENPP	 0.0276336
CDH24	 0.0276336
CD34	 0.0276336
CALCR	 0.0276336
BNIP3L	 0.0276336
BCO1	 0.0276336
ASCC2	 0.0276336
ARHGEF4	 0.0276336
ACSL4	 0.0276336
ROBO1	 0.0275661
ZNF454	 0.0273368
ZNF33B	 0.0273368
ZIM2	 0.0273368
WIPF1	 0.0273368
WEE2	 0.0273368
WASL	 0.0273368
TULP1	 0.0273368
TTBK2	 0.0273368
TACR3	 0.0273368
SYT11	 0.0273368
STAG2	 0.0273368
SPRY4	 0.0273368
SLC39A7	 0.0273368
RUNX2	 0.0273368
RHOXF2B	 0.0273368
RFWD2	 0.0273368
PSMD7	 0.0273368
PLA1A	 0.0273368
PDP1	 0.0273368
OR5M8	 0.0273368
NR1I3	 0.0273368
NPFFR2	 0.0273368
KRTAP9-2	 0.0273368
KRT31	 0.0273368
KBTBD7	 0.0273368
IMPG2	 0.0273368
GTF2IRD2	 0.0273368
GRWD1	 0.0273368
GPR148	 0.0273368
GPI	 0.0273368
GIPC3	 0.0273368
FOXD4	 0.0273368
FGG	 0.0273368
ESRRB	 0.0273368
EPB41	 0.0273368
EBF3	 0.0273368
DLGAP5	 0.0273368
DCST2	 0.0273368
DCAF8L1	 0.0273368
CYLD	 0.0273368
CPSF2	 0.0273368
CNKSR3	 0.0273368
CHST4	 0.0273368
CHRNA7	 0.0273368
CEACAM1	 0.0273368
CCDC146	 0.0273368
CASQ1	 0.0273368
CAPN2	 0.0273368
C2orf81	 0.0273368
BTNL8	 0.0273368
AVPR1A	 0.0273368
AVIL	 0.0273368
ATP8B4	 0.0273368
ATP6V0A1	 0.0273368
AP4E1	 0.0273368
AMPH	 0.0273368
COL22A1	 0.0260543
ZFHX4	 0.0256825
SNX18	 0.0250725
POU4F2	 0.0250725
MDC1	 0.0250725
MAP4K4	 0.0250725
KCNS3	 0.0250725
HOMEZ	 0.0250725
GREB1L	 0.0250725
EPX	 0.0250725
DZIP1L	 0.0250725
CNTN5	 0.0250725
CDH12	 0.0250725
MXRA5	 0.024695
OR10G4	 0.0238888
KIF1B	 0.0238888
FRMPD3	 0.0238888
CLASP1	 0.0238888
SCN5A	 0.0238645
ZNF778	 0.0235059
ZNF281	 0.0235059
ZMYM3	 0.0235059
TRIM51	 0.0235059
TM4SF5	 0.0235059
TIE1	 0.0235059
TBC1D4	 0.0235059
SPG20	 0.0235059
SOX2	 0.0235059
SEMA4F	 0.0235059
RXFP2	 0.0235059
RSL1D1	 0.0235059
RANBP6	 0.0235059
PVR	 0.0235059
PRSS54	 0.0235059
OR10H1	 0.0235059
OPRM1	 0.0235059
NTNG1	 0.0235059
NSMAF	 0.0235059
NLRP14	 0.0235059
MYBPC1	 0.0235059
KCTD8	 0.0235059
KCTD19	 0.0235059
HTR3E	 0.0235059
FOXA1	 0.0235059
ERCC6L	 0.0235059
EML2	 0.0235059
EDEM3	 0.0235059
EBF2	 0.0235059
DLL4	 0.0235059
DDX39A	 0.0235059
DAB2	 0.0235059
CYP26A1	 0.0235059
COL3A1	 0.0235059
CES2	 0.0235059
CCDC141	 0.0235059
CBL	 0.0235059
CASC3	 0.0235059
AKAP4	 0.0235059
ADGRG7	 0.0235059
ADAP2	 0.0235059
TMEM132C	 0.0217596
PCDHA8	 0.0217596
NLRP4	 0.0217596
COL5A2	 0.0217596
UBC	 0.0216344
PCDHB12	 0.0198783
LRP6	 0.0198783
JAG1	 0.0198783
SON	 0.0194923
WDR11	 0.019433
TLL1	 0.019433
SLC8A1	 0.019433
SLC22A25	 0.019433
SKOR1	 0.019433
SHB	 0.019433
RPS6KA2	 0.019433
PTPN14	 0.019433
PHKB	 0.019433
PDHA2	 0.019433
PCDHGB3	 0.019433
PCDH20	 0.019433
NEFL	 0.019433
NBPF8	 0.019433
MYCBPAP	 0.019433
KIAA1468	 0.019433
GRIA4	 0.019433
GRIA2	 0.019433
FDXR	 0.019433
DDX24	 0.019433
DAAM2	 0.019433
CYP2A7	 0.019433
CD163	 0.019433
BEND2	 0.019433
ATP1A2	 0.019433
ANAPC1	 0.019433
ADGRE1	 0.019433
PCDHA1	 0.0187758
KIAA1549L	 0.0187758
BCR	 0.0187758
MUC2	 0.0162447
ANK2	 0.0162125
TUBG2	 0.0158146
SUSD4	 0.0158146
PCDHGB5	 0.0158146
NUB1	 0.0158146
NCAM2	 0.0158146
MMRN1	 0.0158146
MCC	 0.0158146
LRRC4C	 0.0158146
LRRC43	 0.0158146
KSR2	 0.0158146
GRID1	 0.0158146
EYS	 0.0158146
CNTN1	 0.0158146
CDC42BPA	 0.0158146
ADAM7	 0.0158146
SLITRK5	 0.0157674
NLRP8	 0.0157674
NIN	 0.0157674
KIAA0556	 0.0157674
IRS1	 0.0157674
BNC1	 0.0157674
SIPA1L2	 0.0152269
POTEF	 0.0152269
ZXDA	 0.0149846
ZNF528	 0.0149846
ZIC3	 0.0149846
WBSCR17	 0.0149846
USP48	 0.0149846
USP11	 0.0149846
TP63	 0.0149846
TMEM79	 0.0149846
TLK2	 0.0149846
SYCP2L	 0.0149846
SOX11	 0.0149846
SNX9	 0.0149846
SLC8A3	 0.0149846
SLC6A15	 0.0149846
SLC2A14	 0.0149846
SCLY	 0.0149846
RSPH6A	 0.0149846
RIMBP3	 0.0149846
RICTOR	 0.0149846
REPS1	 0.0149846
RBM44	 0.0149846
RAPGEF4	 0.0149846
RALYL	 0.0149846
PRSS36	 0.0149846
PRKD1	 0.0149846
PRKCG	 0.0149846
PRKACG	 0.0149846
PLPPR4	 0.0149846
PCDHGB4	 0.0149846
PAPOLA	 0.0149846
OSBPL9	 0.0149846
NTNG2	 0.0149846
NPAS4	 0.0149846
NEK6	 0.0149846
NDE1	 0.0149846
MMP11	 0.0149846
MBD5	 0.0149846
LZTS1	 0.0149846
LRRC4B	 0.0149846
LARP1	 0.0149846
KLHL22	 0.0149846
KIAA0319	 0.0149846
KCNN1	 0.0149846
KCNG1	 0.0149846
IST1	 0.0149846
IL12B	 0.0149846
HNRNPUL1	 0.0149846
GH1	 0.0149846
DPP4	 0.0149846
CORO6	 0.0149846
CLEC14A	 0.0149846
CKAP2L	 0.0149846
CIRBP	 0.0149846
CHAMP1	 0.0149846
CDKL5	 0.0149846
CCDC39	 0.0149846
ANXA6	 0.0149846
ANP32C	 0.0149846
ANO5	 0.0149846
AMER2	 0.0149846
ABCB6	 0.0149846
FLG2	 0.014802
LCT	 0.0147925
ZNF33A	 0.013708
UNC5C	 0.013708
TTC30A	 0.013708
TNRC6C	 0.013708
TMCO3	 0.013708
TLE6	 0.013708
TEKT3	 0.013708
TBXA2R	 0.013708
SLC6A5	 0.013708
SLC4A10	 0.013708
SLC37A3	 0.013708
SLC35E4	 0.013708
SLC17A6	 0.013708
SLAMF1	 0.013708
SCML4	 0.013708
RPGRIP1	 0.013708
RORC	 0.013708
REL	 0.013708
RECK	 0.013708
PMS2	 0.013708
PDE4C	 0.013708
PCDH19	 0.013708
OXR1	 0.013708
NFASC	 0.013708
MMP16	 0.013708
MAGEC1	 0.013708
LRP12	 0.013708
LGMN	 0.013708
KLHDC7A	 0.013708
IRF4	 0.013708
IMPG1	 0.013708
IKBKE	 0.013708
GUCY2F	 0.013708
GFPT2	 0.013708
GBE1	 0.013708
GAS7	 0.013708
FMO4	 0.013708
FGD1	 0.013708
FBXL7	 0.013708
ERC2	 0.013708
EPC2	 0.013708
DYRK2	 0.013708
DUSP10	 0.013708
DUOXA2	 0.013708
DHX16	 0.013708
CKAP2	 0.013708
BMPER	 0.013708
ALS2	 0.013708
ADAMTS20	 0.013708
ADAM21	 0.013708
ABCF1	 0.013708
ZP4	 0.0134704
ZNF626	 0.0134704
ZNF417	 0.0134704
WDR88	 0.0134704
WASF3	 0.0134704
VCAM1	 0.0134704
VAX1	 0.0134704
USPL1	 0.0134704
TMTC1	 0.0134704
TMEM45A	 0.0134704
TLR8	 0.0134704
TBX5	 0.0134704
TBX22	 0.0134704
TBL1X	 0.0134704
T	 0.0134704
SYNCRIP	 0.0134704
SYCP1	 0.0134704
SYBU	 0.0134704
SUN3	 0.0134704
STEAP4	 0.0134704
SPDYE4	 0.0134704
SPATA7	 0.0134704
SPATA31A3	 0.0134704
SMARCB1	 0.0134704
SH3D21	 0.0134704
SENP5	 0.0134704
RHOH	 0.0134704
PVRL1	 0.0134704
PRRT3	 0.0134704
PRKG2	 0.0134704
PRKCA	 0.0134704
PRDM12	 0.0134704
PRAMEF4	 0.0134704
POLR3E	 0.0134704
POLR2C	 0.0134704
PIGO	 0.0134704
PFKFB2	 0.0134704
PAK3	 0.0134704
OTUD5	 0.0134704
OTOP2	 0.0134704
OR52J3	 0.0134704
OR2T33	 0.0134704
NVL	 0.0134704
NME8	 0.0134704
NKPD1	 0.0134704
MYBL2	 0.0134704
MUL1	 0.0134704
MTNR1A	 0.0134704
MSGN1	 0.0134704
MS4A10	 0.0134704
ME1	 0.0134704
MARS	 0.0134704
LRRC71	 0.0134704
LMOD2	 0.0134704
LHX5	 0.0134704
LHCGR	 0.0134704
LENG9	 0.0134704
LCA5	 0.0134704
KTN1	 0.0134704
KRTAP4-11	 0.0134704
KRTAP15-1	 0.0134704
KRT28	 0.0134704
KRT13	 0.0134704
KIF4A	 0.0134704
KIF2C	 0.0134704
KIAA1522	 0.0134704
KIAA1211L	 0.0134704
KCNA5	 0.0134704
ISPD	 0.0134704
IL9R	 0.0134704
IFFO2	 0.0134704
HS3ST2	 0.0134704
HPSE2	 0.0134704
HMX2	 0.0134704
HMGCR	 0.0134704
GNAS	 0.0134704
GJC1	 0.0134704
GFI1B	 0.0134704
GFAP	 0.0134704
GDAP1L1	 0.0134704
GALNT8	 0.0134704
GABRG3	 0.0134704
GABBR2	 0.0134704
FAM73A	 0.0134704
ETV5	 0.0134704
ELMOD1	 0.0134704
DPYSL5	 0.0134704
DPYD	 0.0134704
DNAJB8	 0.0134704
DDX19A	 0.0134704
DCAF4L1	 0.0134704
DCAF12L2	 0.0134704
DAB1	 0.0134704
CYP3A5	 0.0134704
CXCR1	 0.0134704
CUZD1	 0.0134704
CPT1A	 0.0134704
CNOT4	 0.0134704
CNGB3	 0.0134704
CLIC5	 0.0134704
CFI	 0.0134704
CEPT1	 0.0134704
CDSN	 0.0134704
CCM2	 0.0134704
CCER1	 0.0134704
CALB2	 0.0134704
C3orf30	 0.0134704
ATP7A	 0.0134704
ARHGAP9	 0.0134704
ARHGAP15	 0.0134704
ARAF	 0.0134704
AOC3	 0.0134704
ANTXR1	 0.0134704
ANKRD55	 0.0134704
ANGPT4	 0.0134704
AMDHD1	 0.0134704
ADGRG2	 0.0134704
ABHD11	 0.0134704
USF3	 0.0127699
ULK4	 0.0127699
SAFB2	 0.0127699
ROBO2	 0.0127699
NLRP12	 0.0127699
MYO5B	 0.0127699
KPRP	 0.0127699
ITIH5	 0.0127699
HDAC9	 0.0127699
FOXD4L1	 0.0127699
EPHA7	 0.0127699
DOCK2	 0.0127699
DGKB	 0.0127699
CORIN	 0.0127699
CADPS	 0.0127699
BOC	 0.0127699
ARHGAP23	 0.0127699
ARHGAP21	 0.0127699
ASTN1	 0.0125099
PCDHA13	 0.0119823
ZNF585B	 0.0117765
USP47	 0.0117765
SUPT20HL1	 0.0117765
SORBS2	 0.0117765
SERPINH1	 0.0117765
SEMA3D	 0.0117765
SDF4	 0.0117765
POM121C	 0.0117765
PGLYRP2	 0.0117765
PCDHGA3	 0.0117765
PCDHGA12	 0.0117765
PARD3B	 0.0117765
NCKAP1L	 0.0117765
MATN4	 0.0117765
KRT1	 0.0117765
KDM1A	 0.0117765
KCNMA1	 0.0117765
ITGAM	 0.0117765
IGSF1	 0.0117765
HCN1	 0.0117765
EML4	 0.0117765
DTX2	 0.0117765
DDR2	 0.0117765
C2CD5	 0.0117765
ARID3B	 0.0117765
ARHGEF40	 0.0117765
ADAMTS3	 0.0117765
SFMBT2	 0.0116703
C3	 0.0116703
BOD1L1	 0.0116703
ZNF536	 0.0102643
ZFR2	 0.0102643
TCERG1	 0.0102643
NLRP3	 0.0102643
KCNH1	 0.0102643
GRM1	 0.0102643
FAM35A	 0.0102643
CDH17	 0.0102643
ZNF532	 0.0099247
DCLK1	 0.0099247
CUX1	 0.0099247
COL4A1	 0.0099247
ZNF106	 0.00983572
ZBTB46	 0.00983572
WSCD2	 0.00983572
SLC17A2	 0.00983572
SGSM1	 0.00983572
SETD2	 0.00983572
SEMA5B	 0.00983572
PRKCB	 0.00983572
ITGAX	 0.00983572
ITGAD	 0.00983572
FLT1	 0.00983572
ERN2	 0.00983572
EHD3	 0.00983572
DSEL	 0.00983572
DOCK10	 0.00983572
COL21A1	 0.00983572
CAMTA1	 0.00983572
ATXN7	 0.00983572
ACIN1	 0.00983572
ABHD2	 0.00983572
ABCB11	 0.00983572
AASDH	 0.00983572
MYH7	 0.00829828
TECPR1	 0.00822432
PCDHA12	 0.00822432
NCAM1	 0.00822432
MYT1L	 0.00822432
MYH13	 0.00822432
ADCY8	 0.00822432
ACACA	 0.00822432
ZSWIM3	 0.00814422
ZNF718	 0.00814422
ZNF568	 0.00814422
ZNF425	 0.00814422
ZFPM2	 0.00814422
YY2	 0.00814422
WDR46	 0.00814422
UGT3A2	 0.00814422
UBA1	 0.00814422
TXNDC5	 0.00814422
TTLL11	 0.00814422
TRIM8	 0.00814422
TNIK	 0.00814422
THEMIS	 0.00814422
TBX18	 0.00814422
SYTL3	 0.00814422
SMC6	 0.00814422
SLC6A11	 0.00814422
SLC2A5	 0.00814422
SLC19A3	 0.00814422
SIM1	 0.00814422
SAP130	 0.00814422
RNF219	 0.00814422
PTPRJ	 0.00814422
PSG2	 0.00814422
PRR35	 0.00814422
PRAMEF1	 0.00814422
PPFIBP1	 0.00814422
POMT1	 0.00814422
PIK3R4	 0.00814422
PDXDC1	 0.00814422
PDPR	 0.00814422
PARP15	 0.00814422
OTUD4	 0.00814422
OR6B3	 0.00814422
OR1D5	 0.00814422
OFD1	 0.00814422
NOMO3	 0.00814422
NHLRC1	 0.00814422
MOV10	 0.00814422
MARCH10	 0.00814422
LAT	 0.00814422
KRT73	 0.00814422
KLC2	 0.00814422
KCNN3	 0.00814422
ITGA1	 0.00814422
IGSF9	 0.00814422
IFT81	 0.00814422
HSPA12B	 0.00814422
HNRNPCL2	 0.00814422
HIPK1	 0.00814422
GTF3C5	 0.00814422
GPR161	 0.00814422
GPNMB	 0.00814422
GLTSCR1L	 0.00814422
GFRA1	 0.00814422
GCM2	 0.00814422
FZD8	 0.00814422
FZD1	 0.00814422
FIGN	 0.00814422
EXOC6	 0.00814422
ETV1	 0.00814422
ENPEP	 0.00814422
DPCR1	 0.00814422
DOCK11	 0.00814422
DLG3	 0.00814422
DISP1	 0.00814422
DGKH	 0.00814422
DECR2	 0.00814422
DDIAS	 0.00814422
DAO	 0.00814422
CTNND1	 0.00814422
COG6	 0.00814422
COG2	 0.00814422
CNOT3	 0.00814422
CEACAM8	 0.00814422
CCDC38	 0.00814422
CCDC102B	 0.00814422
CAGE1	 0.00814422
AR	 0.00814422
AK8	 0.00814422
ADGRE5	 0.00814422
ADAM10	 0.00814422
ACSM2B	 0.00814422
ACOXL	 0.00814422
UNC5D	 0.00809044
PXDNL	 0.00809044
PTPRG	 0.00809044
PHACTR3	 0.00809044
KDM4B	 0.00809044
EPHA2	 0.00809044
CMTR1	 0.00809044
ZSCAN2	 0.00789554
ZNF180	 0.00789554
ZIC1	 0.00789554
ZFP62	 0.00789554
WWC3	 0.00789554
WDR17	 0.00789554
VAT1L	 0.00789554
TUBB3	 0.00789554
TRPV5	 0.00789554
TRIP11	 0.00789554
TNFRSF8	 0.00789554
TMC3	 0.00789554
SYNPO2L	 0.00789554
SLFN5	 0.00789554
SLC17A7	 0.00789554
SLC14A1	 0.00789554
SLC13A3	 0.00789554
SH3BP2	 0.00789554
SCAF4	 0.00789554
RFC1	 0.00789554
RBM28	 0.00789554
PYROXD2	 0.00789554
PRPH2	 0.00789554
PROX1	 0.00789554
PROM1	 0.00789554
PIK3AP1	 0.00789554
PCSK7	 0.00789554
PCDHGA11	 0.00789554
OSBPL7	 0.00789554
OR1G1	 0.00789554
OR13C5	 0.00789554
NUAK1	 0.00789554
NEU2	 0.00789554
NCOA2	 0.00789554
NCDN	 0.00789554
MSH2	 0.00789554
MEFV	 0.00789554
